ip,is_attack,attack_type,injected_events,failed_events,privileged_target_events
192.168.1.22,0,none,5,1,0
192.168.1.219,0,none,5,0,1
192.168.1.217,0,none,5,1,0
192.168.1.212,0,none,5,0,1
192.168.1.211,0,none,5,2,1
192.168.1.210,0,none,5,0,0
192.168.1.209,0,none,5,0,3
192.168.1.206,0,none,5,2,0
192.168.1.200,0,none,5,1,1
192.168.1.2,0,none,5,0,0
192.168.1.19,0,none,5,0,0
192.168.1.189,0,none,5,0,0
192.168.1.185,0,none,5,1,2
192.168.1.180,0,none,5,1,1
192.168.1.178,0,none,5,0,0
192.168.1.174,0,none,5,1,0
192.168.1.167,0,none,5,0,0
192.168.1.16,0,none,5,1,1
192.168.1.158,0,none,5,1,1
192.168.1.149,0,none,5,1,0
192.168.1.139,0,none,5,0,0
192.168.1.130,0,none,5,1,1
192.168.1.128,0,none,5,0,1
192.168.1.127,0,none,5,0,0
192.168.1.117,0,none,5,0,0
192.168.1.11,0,none,5,0,0
192.168.1.104,0,none,5,2,0
172.16.0.95,0,none,5,2,0
172.16.0.92,0,none,5,0,0
172.16.0.88,0,none,5,0,0
172.16.0.82,0,none,5,0,2
172.16.0.75,0,none,5,2,0
172.16.0.7,0,none,5,1,0
172.16.0.67,0,none,5,1,0
172.16.0.64,0,none,5,0,1
172.16.0.61,0,none,5,0,0
172.16.0.6,0,none,5,1,0
172.16.0.53,0,none,5,1,0
172.16.0.50,0,none,5,0,0
172.16.0.44,0,none,5,1,1
172.16.0.42,0,none,5,0,0
172.16.0.36,0,none,5,3,1
172.16.0.33,0,none,5,1,0
172.16.0.254,0,none,5,0,0
172.16.0.250,0,none,5,1,0
172.16.0.241,0,none,5,0,0
172.16.0.222,0,none,5,1,1
172.16.0.216,0,none,5,2,0
172.16.0.207,0,none,5,1,2
172.16.0.20,0,none,5,0,0
172.16.0.2,0,none,5,0,0
172.16.0.194,0,none,5,0,1
172.16.0.184,0,none,5,1,1
172.16.0.183,0,none,5,0,0
172.16.0.181,0,none,5,2,0
172.16.0.174,0,none,5,0,0
172.16.0.172,0,none,5,1,0
172.16.0.168,0,none,5,1,0
172.16.0.163,0,none,5,0,0
172.16.0.156,0,none,5,0,0
172.16.0.155,0,none,5,0,1
172.16.0.154,0,none,5,0,1
172.16.0.151,0,none,5,1,1
172.16.0.150,0,none,5,1,0
172.16.0.15,0,none,5,0,0
172.16.0.149,0,none,5,1,1
172.16.0.145,0,none,5,2,1
172.16.0.133,0,none,5,1,0
172.16.0.132,0,none,5,1,0
172.16.0.13,0,none,5,1,0
172.16.0.117,0,none,5,3,1
172.16.0.113,0,none,5,0,0
172.16.0.111,0,none,5,0,0
10.0.0.82,0,none,5,2,0
10.0.0.66,0,none,5,0,0
10.0.0.58,0,none,5,1,0
10.0.0.54,0,none,5,1,0
10.0.0.47,0,none,5,0,1
10.0.0.35,0,none,5,1,1
10.0.0.34,0,none,5,1,1
10.0.0.3,0,none,5,1,1
10.0.0.246,0,none,5,0,1
10.0.0.239,0,none,5,0,1
10.0.0.238,0,none,5,0,0
10.0.0.237,0,none,5,1,0
10.0.0.231,0,none,5,2,0
10.0.0.23,0,none,5,1,2
10.0.0.225,0,none,5,0,0
10.0.0.223,0,none,5,0,0
10.0.0.217,0,none,5,0,0
10.0.0.216,0,none,5,1,1
10.0.0.209,0,none,5,0,0
10.0.0.203,0,none,5,2,0
10.0.0.197,0,none,5,0,0
10.0.0.196,0,none,5,0,0
10.0.0.193,0,none,5,0,1
10.0.0.191,0,none,5,0,0
10.0.0.190,0,none,5,0,0
10.0.0.187,0,none,5,0,1
10.0.0.184,0,none,5,1,1
10.0.0.174,0,none,5,0,0
10.0.0.17,0,none,5,0,1
10.0.0.169,0,none,5,0,1
10.0.0.168,0,none,5,1,0
10.0.0.165,0,none,5,0,1
10.0.0.152,0,none,5,1,0
10.0.0.147,0,none,5,0,1
10.0.0.145,0,none,5,1,0
10.0.0.136,0,none,5,2,1
10.0.0.131,0,none,5,0,0
10.0.0.130,0,none,5,0,1
10.0.0.129,0,none,5,1,1
10.0.0.120,0,none,5,1,1
10.0.0.107,0,none,5,1,1
203.0.113.98,0,none,4,2,0
203.0.113.91,0,none,4,0,0
203.0.113.85,0,none,4,0,0
203.0.113.62,0,none,4,1,0
203.0.113.58,0,none,4,0,0
203.0.113.44,0,none,4,0,0
203.0.113.39,0,none,4,0,1
203.0.113.33,0,none,4,1,1
203.0.113.29,0,none,4,0,0
203.0.113.245,0,none,4,1,0
203.0.113.244,0,none,4,0,0
203.0.113.237,0,none,4,1,0
203.0.113.234,0,none,4,1,1
203.0.113.221,0,none,4,2,0
203.0.113.2,0,none,4,1,2
203.0.113.199,0,none,4,1,0
203.0.113.184,0,none,4,0,0
203.0.113.174,0,none,4,0,1
203.0.113.158,0,none,4,1,1
203.0.113.147,0,none,4,1,1
203.0.113.14,0,none,4,0,0
203.0.113.129,0,none,4,1,1
203.0.113.122,0,none,4,1,0
203.0.113.110,0,none,4,0,0
203.0.113.11,0,none,4,0,0
203.0.113.1,0,none,4,0,1
198.51.100.97,0,none,4,0,0
198.51.100.77,0,none,4,0,0
198.51.100.71,0,none,4,0,1
198.51.100.56,0,none,4,0,1
198.51.100.34,0,none,4,0,1
198.51.100.254,0,none,4,0,0
198.51.100.251,0,none,4,0,0
198.51.100.22,0,none,4,0,0
198.51.100.213,0,none,4,0,0
198.51.100.20,0,none,4,1,1
198.51.100.199,0,none,4,0,0
198.51.100.197,0,none,4,0,1
198.51.100.177,0,none,4,1,1
198.51.100.170,0,none,4,0,1
198.51.100.164,0,none,4,0,1
198.51.100.16,0,none,4,2,0
198.51.100.159,0,none,4,0,1
198.51.100.151,0,none,4,0,0
198.51.100.148,0,none,4,1,0
198.51.100.139,0,none,4,3,1
198.51.100.137,0,none,4,1,0
198.51.100.129,0,none,4,1,0
198.51.100.122,0,none,4,0,1
198.51.100.110,0,none,4,1,2
198.51.100.107,0,none,4,0,0
198.51.100.101,0,none,4,0,1
198.51.100.100,0,none,4,2,1
198.51.100.10,0,none,4,0,1
192.168.1.80,0,none,4,2,0
192.168.1.69,0,none,4,1,0
192.168.1.68,0,none,4,1,0
192.168.1.67,0,none,4,0,0
192.168.1.59,0,none,4,0,0
192.168.1.44,0,none,4,1,0
192.168.1.42,0,none,4,1,1
192.168.1.41,0,none,4,0,0
192.168.1.31,0,none,4,0,0
192.168.1.252,0,none,4,0,0
192.168.1.249,0,none,4,0,0
192.168.1.241,0,none,4,0,1
192.168.1.233,0,none,4,1,1
192.168.1.230,0,none,4,0,0
192.168.1.23,0,none,4,1,0
192.168.1.224,0,none,4,0,0
192.168.1.214,0,none,4,0,0
192.168.1.21,0,none,4,1,0
192.168.1.208,0,none,4,0,0
192.168.1.205,0,none,4,1,0
192.168.1.203,0,none,4,1,1
192.168.1.201,0,none,4,1,0
192.168.1.197,0,none,4,0,0
192.168.1.183,0,none,4,0,0
192.168.1.18,0,none,4,0,0
192.168.1.176,0,none,4,1,0
192.168.1.152,0,none,4,0,1
192.168.1.147,0,none,4,2,0
192.168.1.137,0,none,4,1,0
192.168.1.135,0,none,4,1,0
192.168.1.133,0,none,4,0,1
192.168.1.112,0,none,4,0,0
192.168.1.111,0,none,4,0,1
192.168.1.106,0,none,4,1,0
192.168.1.102,0,none,4,0,1
172.16.0.77,0,none,4,0,0
172.16.0.59,0,none,4,1,1
172.16.0.54,0,none,4,1,1
172.16.0.51,0,none,4,0,0
172.16.0.48,0,none,4,0,0
172.16.0.47,0,none,4,0,0
172.16.0.46,0,none,4,0,0
172.16.0.40,0,none,4,0,0
172.16.0.32,0,none,4,0,1
172.16.0.31,0,none,4,1,0
172.16.0.30,0,none,4,0,0
172.16.0.252,0,none,4,1,1
172.16.0.246,0,none,4,1,1
172.16.0.243,0,none,4,0,0
172.16.0.24,0,none,4,0,0
172.16.0.230,0,none,4,1,0
172.16.0.228,0,none,4,0,1
172.16.0.212,0,none,4,0,0
172.16.0.210,0,none,4,0,0
172.16.0.206,0,none,4,0,1
172.16.0.203,0,none,4,0,0
172.16.0.200,0,none,4,1,0
172.16.0.196,0,none,4,0,0
172.16.0.190,0,none,4,0,0
172.16.0.189,0,none,4,0,1
172.16.0.185,0,none,4,0,0
172.16.0.182,0,none,4,1,1
172.16.0.176,0,none,4,1,0
172.16.0.171,0,none,4,0,0
172.16.0.142,0,none,4,2,0
172.16.0.140,0,none,4,0,0
172.16.0.139,0,none,4,0,0
172.16.0.122,0,none,4,0,1
172.16.0.116,0,none,4,0,0
172.16.0.109,0,none,4,0,0
172.16.0.102,0,none,4,0,0
10.0.0.97,0,none,4,0,0
10.0.0.94,0,none,4,0,0
10.0.0.91,0,none,4,0,0
10.0.0.87,0,none,4,0,0
10.0.0.64,0,none,4,0,0
10.0.0.53,0,none,4,1,0
10.0.0.48,0,none,4,1,0
10.0.0.41,0,none,4,1,0
10.0.0.36,0,none,4,1,1
10.0.0.31,0,none,4,0,1
10.0.0.247,0,none,4,0,1
10.0.0.244,0,none,4,1,2
10.0.0.242,0,none,4,0,0
10.0.0.235,0,none,4,1,0
10.0.0.232,0,none,4,0,0
10.0.0.227,0,none,4,1,0
10.0.0.219,0,none,4,0,0
10.0.0.215,0,none,4,0,0
10.0.0.208,0,none,4,0,1
10.0.0.204,0,none,4,1,0
10.0.0.199,0,none,4,3,2
10.0.0.188,0,none,4,0,0
10.0.0.186,0,none,4,0,0
10.0.0.181,0,none,4,0,0
10.0.0.18,0,none,4,1,0
10.0.0.176,0,none,4,0,0
10.0.0.163,0,none,4,1,0
10.0.0.161,0,none,4,0,0
10.0.0.159,0,none,4,0,1
10.0.0.151,0,none,4,2,1
10.0.0.148,0,none,4,0,1
10.0.0.143,0,none,4,2,1
10.0.0.140,0,none,4,0,0
10.0.0.14,0,none,4,1,1
10.0.0.135,0,none,4,0,0
10.0.0.133,0,none,4,2,0
10.0.0.122,0,none,4,1,1
10.0.0.111,0,none,4,0,0
10.0.0.110,0,none,4,0,0
203.0.113.90,0,none,3,0,0
203.0.113.88,0,none,3,0,0
203.0.113.87,0,none,3,0,0
203.0.113.83,0,none,3,0,0
203.0.113.77,0,none,3,0,0
203.0.113.66,0,none,3,0,0
203.0.113.61,0,none,3,1,0
203.0.113.56,0,none,3,1,0
203.0.113.50,0,none,3,0,1
203.0.113.5,0,none,3,0,0
203.0.113.49,0,none,3,1,0
203.0.113.48,0,none,3,1,0
203.0.113.38,0,none,3,0,0
203.0.113.27,0,none,3,0,0
203.0.113.250,0,none,3,1,0
203.0.113.248,0,none,3,0,1
203.0.113.247,0,none,3,0,0
203.0.113.246,0,none,3,1,0
203.0.113.243,0,none,3,1,0
203.0.113.240,0,none,3,0,0
203.0.113.233,0,none,3,0,0
203.0.113.232,0,none,3,0,0
203.0.113.23,0,none,3,1,1
203.0.113.229,0,none,3,1,0
203.0.113.228,0,none,3,0,1
203.0.113.226,0,none,3,0,0
203.0.113.225,0,none,3,1,0
203.0.113.22,0,none,3,0,1
203.0.113.213,0,none,3,0,0
203.0.113.212,0,none,3,1,0
203.0.113.21,0,none,3,1,0
203.0.113.206,0,none,3,2,0
203.0.113.203,0,none,3,0,0
203.0.113.201,0,none,3,1,0
203.0.113.197,0,none,3,1,0
203.0.113.173,0,none,3,1,1
203.0.113.17,0,none,3,0,0
203.0.113.161,0,none,3,0,1
203.0.113.160,0,none,3,0,0
203.0.113.155,0,none,3,0,0
203.0.113.149,0,none,3,1,0
203.0.113.137,0,none,3,0,0
203.0.113.134,0,none,3,0,1
203.0.113.131,0,none,3,0,1
203.0.113.117,0,none,3,0,0
203.0.113.115,0,none,3,1,0
203.0.113.111,0,none,3,0,0
203.0.113.107,0,none,3,1,1
203.0.113.104,0,none,3,1,0
203.0.113.102,0,none,3,0,0
198.51.100.9,0,none,3,0,0
198.51.100.87,0,none,3,1,0
198.51.100.86,0,none,3,0,0
198.51.100.84,0,none,3,0,0
198.51.100.80,0,none,3,1,0
198.51.100.79,0,none,3,1,2
198.51.100.78,0,none,3,0,0
198.51.100.74,0,none,3,2,0
198.51.100.73,0,none,3,1,0
198.51.100.72,0,none,3,2,0
198.51.100.70,0,none,3,0,1
198.51.100.68,0,none,3,2,2
198.51.100.67,0,none,3,1,0
198.51.100.64,0,none,3,0,0
198.51.100.63,0,none,3,0,0
198.51.100.58,0,none,3,1,0
198.51.100.55,0,none,3,1,1
198.51.100.54,0,none,3,0,0
198.51.100.49,0,none,3,1,0
198.51.100.48,0,none,3,0,0
198.51.100.47,0,none,3,0,0
198.51.100.42,0,none,3,1,0
198.51.100.39,0,none,3,0,0
198.51.100.30,0,none,3,2,1
198.51.100.26,0,none,3,1,0
198.51.100.245,0,none,3,0,0
198.51.100.244,0,none,3,0,0
198.51.100.236,0,none,3,0,0
198.51.100.230,0,none,3,1,1
198.51.100.23,0,none,3,1,0
198.51.100.218,0,none,3,0,0
198.51.100.217,0,none,3,0,1
198.51.100.216,0,none,3,0,0
198.51.100.215,0,none,3,1,0
198.51.100.201,0,none,3,1,0
198.51.100.2,0,none,3,0,0
198.51.100.198,0,none,3,1,0
198.51.100.193,0,none,3,0,0
198.51.100.192,0,none,3,0,0
198.51.100.191,0,none,3,1,0
198.51.100.188,0,none,3,1,1
198.51.100.186,0,none,3,0,0
198.51.100.181,0,none,3,0,0
198.51.100.18,0,none,3,2,1
198.51.100.176,0,none,3,0,0
198.51.100.175,0,none,3,0,0
198.51.100.167,0,none,3,1,0
198.51.100.163,0,none,3,1,1
198.51.100.160,0,none,3,1,0
198.51.100.156,0,none,3,0,0
198.51.100.153,0,none,3,0,1
198.51.100.150,0,none,3,0,0
198.51.100.147,0,none,3,0,0
198.51.100.142,0,none,3,0,0
198.51.100.134,0,none,3,0,0
198.51.100.133,0,none,3,0,0
198.51.100.13,0,none,3,0,1
198.51.100.128,0,none,3,0,1
198.51.100.124,0,none,3,0,0
198.51.100.121,0,none,3,0,0
198.51.100.120,0,none,3,1,0
198.51.100.117,0,none,3,1,1
198.51.100.116,0,none,3,0,0
198.51.100.108,0,none,3,0,1
198.51.100.1,0,none,3,1,0
192.168.1.99,0,none,3,0,0
192.168.1.98,0,none,3,0,0
192.168.1.88,0,none,3,1,0
192.168.1.87,0,none,3,0,0
192.168.1.82,0,none,3,1,0
192.168.1.54,0,none,3,1,0
192.168.1.52,0,none,3,1,0
192.168.1.50,0,none,3,1,0
192.168.1.45,0,none,3,1,0
192.168.1.38,0,none,3,0,0
192.168.1.29,0,none,3,0,0
192.168.1.25,0,none,3,0,0
192.168.1.248,0,none,3,0,0
192.168.1.242,0,none,3,0,0
192.168.1.237,0,none,3,1,1
192.168.1.232,0,none,3,0,0
192.168.1.227,0,none,3,1,0
192.168.1.223,0,none,3,1,0
192.168.1.222,0,none,3,1,0
192.168.1.216,0,none,3,0,0
192.168.1.213,0,none,3,1,0
192.168.1.199,0,none,3,0,0
192.168.1.196,0,none,3,1,0
192.168.1.186,0,none,3,1,0
192.168.1.182,0,none,3,0,0
192.168.1.177,0,none,3,0,0
192.168.1.173,0,none,3,0,1
192.168.1.172,0,none,3,0,1
192.168.1.17,0,none,3,0,1
192.168.1.168,0,none,3,0,1
192.168.1.164,0,none,3,0,0
192.168.1.144,0,none,3,0,0
192.168.1.14,0,none,3,0,0
192.168.1.134,0,none,3,0,1
192.168.1.129,0,none,3,0,1
192.168.1.121,0,none,3,0,0
192.168.1.119,0,none,3,1,0
192.168.1.116,0,none,3,1,0
192.168.1.109,0,none,3,0,0
192.168.1.105,0,none,3,0,0
172.16.0.97,0,none,3,0,0
172.16.0.91,0,none,3,1,0
172.16.0.87,0,none,3,0,0
172.16.0.78,0,none,3,3,0
172.16.0.76,0,none,3,0,0
172.16.0.73,0,none,3,1,0
172.16.0.69,0,none,3,1,0
172.16.0.66,0,none,3,0,0
172.16.0.57,0,none,3,0,1
172.16.0.49,0,none,3,0,0
172.16.0.45,0,none,3,0,0
172.16.0.34,0,none,3,0,0
172.16.0.29,0,none,3,1,0
172.16.0.253,0,none,3,0,0
172.16.0.238,0,none,3,1,0
172.16.0.236,0,none,3,0,0
172.16.0.235,0,none,3,0,0
172.16.0.234,0,none,3,1,0
172.16.0.233,0,none,3,0,0
172.16.0.229,0,none,3,0,0
172.16.0.221,0,none,3,0,0
172.16.0.218,0,none,3,0,0
172.16.0.211,0,none,3,1,2
172.16.0.21,0,none,3,0,1
172.16.0.205,0,none,3,0,1
172.16.0.204,0,none,3,0,0
172.16.0.199,0,none,3,1,1
172.16.0.195,0,none,3,0,0
172.16.0.193,0,none,3,0,0
172.16.0.191,0,none,3,1,0
172.16.0.160,0,none,3,0,0
172.16.0.159,0,none,3,0,0
172.16.0.153,0,none,3,0,0
172.16.0.148,0,none,3,1,0
172.16.0.146,0,none,3,0,0
172.16.0.144,0,none,3,0,0
172.16.0.141,0,none,3,0,0
172.16.0.14,0,none,3,0,1
172.16.0.134,0,none,3,0,0
172.16.0.128,0,none,3,0,1
172.16.0.123,0,none,3,0,0
172.16.0.121,0,none,3,0,0
172.16.0.120,0,none,3,1,0
