ip,total_events,failed_logins,privileged_attempts,external_events,suspicious_events,risk_score,risk_level
203.0.113.34,6,1,0,6,1,9,medium
203.0.113.81,6,1,0,6,1,9,medium
198.51.100.104,7,0,1,7,0,9,medium
203.0.113.153,2,2,0,2,2,8,medium
192.168.1.71,8,4,1,0,1,8,medium
10.0.0.2,7,2,2,0,1,8,medium
10.0.0.221,6,2,2,0,1,8,medium
192.168.1.122,8,2,2,0,1,8,medium
198.51.100.109,5,1,0,5,1,8,medium
198.51.100.113,5,1,0,5,1,8,medium
198.51.100.117,3,1,1,3,1,8,medium
198.51.100.141,5,1,0,5,1,8,medium
198.51.100.163,3,1,1,3,1,8,medium
198.51.100.171,5,1,0,5,1,8,medium
198.51.100.188,3,1,1,3,1,8,medium
198.51.100.194,5,1,0,5,1,8,medium
198.51.100.230,3,1,1,3,1,8,medium
198.51.100.55,3,1,1,3,1,8,medium
198.51.100.81,5,1,0,5,1,8,medium
198.51.100.83,5,1,0,5,1,8,medium
203.0.113.107,3,1,1,3,1,8,medium
203.0.113.173,3,1,1,3,1,8,medium
203.0.113.175,5,1,0,5,1,8,medium
203.0.113.176,5,1,0,5,1,8,medium
203.0.113.178,5,1,0,5,1,8,medium
203.0.113.23,3,1,1,3,1,8,medium
192.168.1.187,6,3,1,0,1,7,low
10.0.0.167,3,1,2,0,1,7,low
10.0.0.23,5,1,2,0,1,7,low
10.0.0.244,4,1,2,0,1,7,low
172.16.0.207,5,1,2,0,1,7,low
172.16.0.65,6,1,2,0,1,7,low
198.51.100.129,4,1,0,4,1,7,low
198.51.100.137,4,1,0,4,1,7,low
198.51.100.148,4,1,0,4,1,7,low
198.51.100.196,2,1,1,2,1,7,low
198.51.100.219,2,1,1,2,1,7,low
198.51.100.225,2,1,1,2,1,7,low
198.51.100.76,2,1,1,2,1,7,low
203.0.113.122,4,1,0,4,1,7,low
203.0.113.145,2,1,1,2,1,7,low
203.0.113.15,2,1,1,2,1,7,low
203.0.113.185,2,1,1,2,1,7,low
203.0.113.19,2,1,1,2,1,7,low
203.0.113.199,4,1,0,4,1,7,low
203.0.113.205,2,1,1,2,1,7,low
203.0.113.210,2,1,1,2,1,7,low
203.0.113.221,4,1,0,4,1,7,low
203.0.113.237,4,1,0,4,1,7,low
203.0.113.245,4,1,0,4,1,7,low
203.0.113.62,4,1,0,4,1,7,low
198.51.100.105,5,0,1,5,0,7,low
198.51.100.246,5,0,1,5,0,7,low
198.51.100.59,5,0,1,5,0,7,low
198.51.100.96,5,0,1,5,0,7,low
203.0.113.94,7,0,0,7,0,7,low
10.0.0.136,5,2,1,0,1,6,low
10.0.0.143,4,2,1,0,1,6,low
10.0.0.151,4,2,1,0,1,6,low
10.0.0.179,6,2,1,0,1,6,low
172.16.0.114,7,2,1,0,1,6,low
172.16.0.165,8,2,1,0,1,6,low
172.16.0.38,6,2,1,0,1,6,low
172.16.0.83,7,2,1,0,1,6,low
192.168.1.151,2,2,1,0,1,6,low
192.168.1.181,7,2,1,0,1,6,low
192.168.1.24,10,2,1,0,1,6,low
192.168.1.62,7,2,1,0,1,6,low
198.51.100.1,3,1,0,3,1,6,low
198.51.100.120,3,1,0,3,1,6,low
198.51.100.160,3,1,0,3,1,6,low
198.51.100.167,3,1,0,3,1,6,low
198.51.100.191,3,1,0,3,1,6,low
198.51.100.198,3,1,0,3,1,6,low
198.51.100.201,3,1,0,3,1,6,low
198.51.100.202,1,1,1,1,1,6,low
198.51.100.215,3,1,0,3,1,6,low
198.51.100.23,3,1,0,3,1,6,low
198.51.100.26,3,1,0,3,1,6,low
198.51.100.42,3,1,0,3,1,6,low
198.51.100.49,3,1,0,3,1,6,low
198.51.100.58,3,1,0,3,1,6,low
198.51.100.67,3,1,0,3,1,6,low
198.51.100.73,3,1,0,3,1,6,low
198.51.100.74,3,1,0,3,1,6,low
198.51.100.80,3,1,0,3,1,6,low
198.51.100.87,3,1,0,3,1,6,low
203.0.113.104,3,1,0,3,1,6,low
203.0.113.115,3,1,0,3,1,6,low
203.0.113.149,3,1,0,3,1,6,low
203.0.113.197,3,1,0,3,1,6,low
203.0.113.201,3,1,0,3,1,6,low
203.0.113.21,3,1,0,3,1,6,low
203.0.113.225,3,1,0,3,1,6,low
203.0.113.229,3,1,0,3,1,6,low
203.0.113.243,3,1,0,3,1,6,low
203.0.113.246,3,1,0,3,1,6,low
203.0.113.250,3,1,0,3,1,6,low
203.0.113.48,3,1,0,3,1,6,low
203.0.113.49,3,1,0,3,1,6,low
203.0.113.56,3,1,0,3,1,6,low
203.0.113.61,3,1,0,3,1,6,low
192.168.1.225,5,2,2,0,0,6,low
192.168.1.65,10,2,2,0,0,6,low
172.16.0.62,7,0,3,0,0,6,low
192.168.1.209,5,0,3,0,0,6,low
198.51.100.10,4,0,1,4,0,6,low
198.51.100.101,4,0,1,4,0,6,low
198.51.100.122,4,0,1,4,0,6,low
198.51.100.159,4,0,1,4,0,6,low
198.51.100.164,4,0,1,4,0,6,low
198.51.100.170,4,0,1,4,0,6,low
198.51.100.187,6,0,0,6,0,6,low
198.51.100.197,4,0,1,4,0,6,low
198.51.100.242,6,0,0,6,0,6,low
198.51.100.34,4,0,1,4,0,6,low
198.51.100.56,4,0,1,4,0,6,low
198.51.100.71,4,0,1,4,0,6,low
203.0.113.1,4,0,1,4,0,6,low
203.0.113.147,4,0,1,4,0,6,low
203.0.113.166,6,0,0,6,0,6,low
203.0.113.174,4,0,1,4,0,6,low
203.0.113.200,6,0,0,6,0,6,low
203.0.113.234,4,0,1,4,0,6,low
203.0.113.39,4,0,1,4,0,6,low
203.0.113.89,6,0,0,6,0,6,low
10.0.0.102,2,1,1,0,1,5,low
10.0.0.107,5,1,1,0,1,5,low
10.0.0.118,2,1,1,0,1,5,low
10.0.0.129,5,1,1,0,1,5,low
10.0.0.141,6,1,1,0,1,5,low
10.0.0.144,3,1,1,0,1,5,low
10.0.0.146,8,1,1,0,1,5,low
10.0.0.211,2,1,1,0,1,5,low
10.0.0.216,5,1,1,0,1,5,low
10.0.0.249,1,1,1,0,1,5,low
10.0.0.30,6,1,1,0,1,5,low
10.0.0.36,4,1,1,0,1,5,low
10.0.0.43,8,1,1,0,1,5,low
10.0.0.89,2,1,1,0,1,5,low
10.0.0.95,3,1,1,0,1,5,low
172.16.0.145,5,1,1,0,1,5,low
172.16.0.184,5,1,1,0,1,5,low
172.16.0.199,3,1,1,0,1,5,low
172.16.0.222,5,1,1,0,1,5,low
172.16.0.3,6,1,1,0,1,5,low
172.16.0.4,2,1,1,0,1,5,low
172.16.0.56,1,1,1,0,1,5,low
172.16.0.8,2,1,1,0,1,5,low
192.168.1.101,7,1,1,0,1,5,low
192.168.1.140,2,1,1,0,1,5,low
192.168.1.146,2,1,1,0,1,5,low
192.168.1.191,10,1,1,0,1,5,low
192.168.1.203,4,1,1,0,1,5,low
192.168.1.233,4,1,1,0,1,5,low
192.168.1.244,7,1,1,0,1,5,low
192.168.1.250,5,1,1,0,1,5,low
192.168.1.33,7,1,1,0,1,5,low
192.168.1.37,5,1,1,0,1,5,low
198.51.100.11,2,1,0,2,1,5,low
198.51.100.126,2,1,0,2,1,5,low
198.51.100.136,2,1,0,2,1,5,low
198.51.100.146,2,1,0,2,1,5,low
198.51.100.178,2,1,0,2,1,5,low
198.51.100.208,2,1,0,2,1,5,low
198.51.100.240,2,1,0,2,1,5,low
198.51.100.27,2,1,0,2,1,5,low
198.51.100.29,2,1,0,2,1,5,low
198.51.100.32,2,1,0,2,1,5,low
198.51.100.65,2,1,0,2,1,5,low
203.0.113.106,2,1,0,2,1,5,low
203.0.113.114,2,1,0,2,1,5,low
203.0.113.127,2,1,0,2,1,5,low
203.0.113.139,2,1,0,2,1,5,low
203.0.113.181,2,1,0,2,1,5,low
203.0.113.204,2,1,0,2,1,5,low
203.0.113.239,2,1,0,2,1,5,low
203.0.113.26,2,1,0,2,1,5,low
203.0.113.7,2,1,0,2,1,5,low
203.0.113.70,2,1,0,2,1,5,low
172.16.0.244,10,5,0,0,0,5,low
10.0.0.177,10,3,1,0,0,5,low
172.16.0.117,5,3,1,0,0,5,low
172.16.0.36,5,3,1,0,0,5,low
172.16.0.94,7,3,1,0,0,5,low
10.0.0.12,8,1,2,0,0,5,low
10.0.0.88,7,1,2,0,0,5,low
172.16.0.157,7,1,2,0,0,5,low
172.16.0.167,7,1,2,0,0,5,low
172.16.0.211,3,1,2,0,0,5,low
192.168.1.169,6,1,2,0,0,5,low
192.168.1.185,5,1,2,0,0,5,low
198.51.100.108,3,0,1,3,0,5,low
198.51.100.128,3,0,1,3,0,5,low
198.51.100.13,3,0,1,3,0,5,low
198.51.100.153,3,0,1,3,0,5,low
198.51.100.154,5,0,0,5,0,5,low
198.51.100.217,3,0,1,3,0,5,low
198.51.100.221,5,0,0,5,0,5,low
198.51.100.50,5,0,0,5,0,5,low
198.51.100.70,3,0,1,3,0,5,low
198.51.100.88,5,0,0,5,0,5,low
198.51.100.91,5,0,0,5,0,5,low
203.0.113.131,3,0,1,3,0,5,low
203.0.113.134,3,0,1,3,0,5,low
203.0.113.161,3,0,1,3,0,5,low
203.0.113.207,5,0,0,5,0,5,low
203.0.113.22,3,0,1,3,0,5,low
203.0.113.224,5,0,0,5,0,5,low
203.0.113.228,3,0,1,3,0,5,low
203.0.113.248,3,0,1,3,0,5,low
203.0.113.25,5,0,0,5,0,5,low
203.0.113.37,5,0,0,5,0,5,low
203.0.113.50,3,0,1,3,0,5,low
198.51.100.166,1,1,0,1,1,4,low
198.51.100.212,1,1,0,1,1,4,low
198.51.100.250,1,1,0,1,1,4,low
198.51.100.252,1,1,0,1,1,4,low
198.51.100.61,1,1,0,1,1,4,low
203.0.113.116,1,1,0,1,1,4,low
203.0.113.18,1,1,0,1,1,4,low
203.0.113.193,1,1,0,1,1,4,low
203.0.113.84,1,1,0,1,1,4,low
203.0.113.95,1,1,0,1,1,4,low
10.0.0.123,8,2,1,0,0,4,low
10.0.0.170,8,2,1,0,0,4,low
10.0.0.206,7,2,1,0,0,4,low
10.0.0.229,7,2,1,0,0,4,low
172.16.0.124,8,2,1,0,0,4,low
172.16.0.35,7,2,1,0,0,4,low
192.168.1.161,10,2,1,0,0,4,low
192.168.1.211,5,2,1,0,0,4,low
192.168.1.36,8,2,1,0,0,4,low
192.168.1.66,5,2,1,0,0,4,low
10.0.0.108,3,0,2,0,0,4,low
10.0.0.194,7,0,2,0,0,4,low
10.0.0.27,7,0,2,0,0,4,low
10.0.0.49,7,0,2,0,0,4,low
10.0.0.56,8,0,2,0,0,4,low
172.16.0.126,7,0,2,0,0,4,low
172.16.0.232,6,0,2,0,0,4,low
172.16.0.72,8,0,2,0,0,4,low
172.16.0.82,5,0,2,0,0,4,low
192.168.1.123,7,0,2,0,0,4,low
192.168.1.131,6,0,2,0,0,4,low
192.168.1.142,2,0,2,0,0,4,low
192.168.1.154,7,0,2,0,0,4,low
192.168.1.188,8,0,2,0,0,4,low
192.168.1.6,7,0,2,0,0,4,low
198.51.100.107,4,0,0,4,0,4,low
198.51.100.125,2,0,1,2,0,4,low
198.51.100.151,4,0,0,4,0,4,low
198.51.100.155,2,0,1,2,0,4,low
198.51.100.199,4,0,0,4,0,4,low
198.51.100.213,4,0,0,4,0,4,low
198.51.100.22,4,0,0,4,0,4,low
198.51.100.251,4,0,0,4,0,4,low
198.51.100.254,4,0,0,4,0,4,low
198.51.100.44,2,0,1,2,0,4,low
198.51.100.5,2,0,1,2,0,4,low
198.51.100.77,4,0,0,4,0,4,low
198.51.100.97,4,0,0,4,0,4,low
203.0.113.108,2,0,1,2,0,4,low
203.0.113.11,4,0,0,4,0,4,low
203.0.113.110,4,0,0,4,0,4,low
203.0.113.123,2,0,1,2,0,4,low
203.0.113.14,4,0,0,4,0,4,low
203.0.113.163,2,0,1,2,0,4,low
203.0.113.179,2,0,1,2,0,4,low
203.0.113.184,4,0,0,4,0,4,low
203.0.113.209,2,0,1,2,0,4,low
203.0.113.242,2,0,1,2,0,4,low
203.0.113.244,4,0,0,4,0,4,low
203.0.113.28,2,0,1,2,0,4,low
203.0.113.29,4,0,0,4,0,4,low
203.0.113.44,4,0,0,4,0,4,low
203.0.113.58,4,0,0,4,0,4,low
203.0.113.76,2,0,1,2,0,4,low
203.0.113.85,4,0,0,4,0,4,low
203.0.113.91,4,0,0,4,0,4,low
10.0.0.127,6,3,0,0,0,3,low
172.16.0.215,9,3,0,0,0,3,low
172.16.0.78,3,3,0,0,0,3,low
10.0.0.120,5,1,1,0,0,3,low
10.0.0.122,4,1,1,0,0,3,low
10.0.0.14,4,1,1,0,0,3,low
10.0.0.184,5,1,1,0,0,3,low
10.0.0.3,5,1,1,0,0,3,low
10.0.0.34,5,1,1,0,0,3,low
10.0.0.35,5,1,1,0,0,3,low
10.0.0.85,6,1,1,0,0,3,low
10.0.0.86,6,1,1,0,0,3,low
10.0.0.98,6,1,1,0,0,3,low
172.16.0.106,7,1,1,0,0,3,low
172.16.0.149,5,1,1,0,0,3,low
172.16.0.151,5,1,1,0,0,3,low
172.16.0.182,4,1,1,0,0,3,low
172.16.0.240,8,1,1,0,0,3,low
172.16.0.246,4,1,1,0,0,3,low
172.16.0.252,4,1,1,0,0,3,low
172.16.0.39,6,1,1,0,0,3,low
172.16.0.44,5,1,1,0,0,3,low
172.16.0.54,4,1,1,0,0,3,low
172.16.0.59,4,1,1,0,0,3,low
192.168.1.130,5,1,1,0,0,3,low
192.168.1.155,8,1,1,0,0,3,low
192.168.1.158,5,1,1,0,0,3,low
192.168.1.16,5,1,1,0,0,3,low
192.168.1.200,5,1,1,0,0,3,low
192.168.1.226,5,1,1,0,0,3,low
192.168.1.236,9,1,1,0,0,3,low
192.168.1.237,3,1,1,0,0,3,low
192.168.1.3,6,1,1,0,0,3,low
192.168.1.39,7,1,1,0,0,3,low
192.168.1.42,4,1,1,0,0,3,low
192.168.1.75,5,1,1,0,0,3,low
192.168.1.76,6,1,1,0,0,3,low
198.51.100.114,1,0,1,1,0,3,low
198.51.100.116,3,0,0,3,0,3,low
198.51.100.121,3,0,0,3,0,3,low
198.51.100.124,3,0,0,3,0,3,low
198.51.100.133,3,0,0,3,0,3,low
198.51.100.134,3,0,0,3,0,3,low
198.51.100.142,3,0,0,3,0,3,low
198.51.100.147,3,0,0,3,0,3,low
198.51.100.150,3,0,0,3,0,3,low
198.51.100.156,3,0,0,3,0,3,low
198.51.100.175,3,0,0,3,0,3,low
198.51.100.176,3,0,0,3,0,3,low
198.51.100.181,3,0,0,3,0,3,low
198.51.100.185,1,0,1,1,0,3,low
198.51.100.186,3,0,0,3,0,3,low
198.51.100.192,3,0,0,3,0,3,low
198.51.100.193,3,0,0,3,0,3,low
198.51.100.2,3,0,0,3,0,3,low
198.51.100.216,3,0,0,3,0,3,low
198.51.100.218,3,0,0,3,0,3,low
198.51.100.236,3,0,0,3,0,3,low
198.51.100.244,3,0,0,3,0,3,low
198.51.100.245,3,0,0,3,0,3,low
198.51.100.39,3,0,0,3,0,3,low
198.51.100.47,3,0,0,3,0,3,low
198.51.100.48,3,0,0,3,0,3,low
198.51.100.54,3,0,0,3,0,3,low
198.51.100.63,3,0,0,3,0,3,low
198.51.100.64,3,0,0,3,0,3,low
198.51.100.78,3,0,0,3,0,3,low
198.51.100.84,3,0,0,3,0,3,low
198.51.100.86,3,0,0,3,0,3,low
198.51.100.9,3,0,0,3,0,3,low
203.0.113.102,3,0,0,3,0,3,low
203.0.113.111,3,0,0,3,0,3,low
203.0.113.117,3,0,0,3,0,3,low
203.0.113.130,1,0,1,1,0,3,low
203.0.113.132,1,0,1,1,0,3,low
203.0.113.137,3,0,0,3,0,3,low
203.0.113.155,3,0,0,3,0,3,low
203.0.113.160,3,0,0,3,0,3,low
203.0.113.17,3,0,0,3,0,3,low
203.0.113.203,3,0,0,3,0,3,low
203.0.113.212,3,0,0,3,0,3,low
203.0.113.213,3,0,0,3,0,3,low
203.0.113.226,3,0,0,3,0,3,low
203.0.113.232,3,0,0,3,0,3,low
203.0.113.233,3,0,0,3,0,3,low
203.0.113.240,3,0,0,3,0,3,low
203.0.113.247,3,0,0,3,0,3,low
203.0.113.27,3,0,0,3,0,3,low
203.0.113.38,3,0,0,3,0,3,low
203.0.113.5,3,0,0,3,0,3,low
203.0.113.66,3,0,0,3,0,3,low
203.0.113.77,3,0,0,3,0,3,low
203.0.113.83,3,0,0,3,0,3,low
203.0.113.87,3,0,0,3,0,3,low
203.0.113.88,3,0,0,3,0,3,low
203.0.113.90,3,0,0,3,0,3,low
10.0.0.133,4,2,0,0,0,2,low
10.0.0.156,7,2,0,0,0,2,low
10.0.0.157,7,2,0,0,0,2,low
10.0.0.203,5,2,0,0,0,2,low
10.0.0.207,7,2,0,0,0,2,low
10.0.0.222,6,2,0,0,0,2,low
10.0.0.224,2,2,0,0,0,2,low
10.0.0.231,5,2,0,0,0,2,low
10.0.0.32,3,2,0,0,0,2,low
10.0.0.4,8,2,0,0,0,2,low
10.0.0.55,7,2,0,0,0,2,low
10.0.0.82,5,2,0,0,0,2,low
172.16.0.101,3,2,0,0,0,2,low
172.16.0.142,4,2,0,0,0,2,low
172.16.0.143,7,2,0,0,0,2,low
172.16.0.175,8,2,0,0,0,2,low
172.16.0.181,5,2,0,0,0,2,low
172.16.0.186,7,2,0,0,0,2,low
172.16.0.216,5,2,0,0,0,2,low
172.16.0.217,6,2,0,0,0,2,low
172.16.0.224,6,2,0,0,0,2,low
172.16.0.248,6,2,0,0,0,2,low
172.16.0.75,5,2,0,0,0,2,low
172.16.0.84,9,2,0,0,0,2,low
172.16.0.95,5,2,0,0,0,2,low
192.168.1.10,7,2,0,0,0,2,low
192.168.1.104,5,2,0,0,0,2,low
192.168.1.147,4,2,0,0,0,2,low
192.168.1.153,6,2,0,0,0,2,low
192.168.1.206,5,2,0,0,0,2,low
192.168.1.207,7,2,0,0,0,2,low
192.168.1.28,5,2,0,0,0,2,low
192.168.1.51,10,2,0,0,0,2,low
192.168.1.60,5,2,0,0,0,2,low
192.168.1.80,4,2,0,0,0,2,low
10.0.0.130,5,0,1,0,0,2,low
10.0.0.137,2,0,1,0,0,2,low
10.0.0.147,5,0,1,0,0,2,low
10.0.0.148,4,0,1,0,0,2,low
10.0.0.159,4,0,1,0,0,2,low
10.0.0.165,5,0,1,0,0,2,low
10.0.0.169,5,0,1,0,0,2,low
10.0.0.17,5,0,1,0,0,2,low
10.0.0.182,10,0,1,0,0,2,low
10.0.0.187,5,0,1,0,0,2,low
10.0.0.193,5,0,1,0,0,2,low
10.0.0.202,7,0,1,0,0,2,low
10.0.0.205,3,0,1,0,0,2,low
10.0.0.208,4,0,1,0,0,2,low
10.0.0.226,8,0,1,0,0,2,low
10.0.0.230,9,0,1,0,0,2,low
10.0.0.239,5,0,1,0,0,2,low
10.0.0.246,5,0,1,0,0,2,low
10.0.0.247,4,0,1,0,0,2,low
10.0.0.251,3,0,1,0,0,2,low
10.0.0.31,4,0,1,0,0,2,low
10.0.0.47,5,0,1,0,0,2,low
10.0.0.73,3,0,1,0,0,2,low
10.0.0.9,2,0,1,0,0,2,low
10.0.0.93,3,0,1,0,0,2,low
172.16.0.100,3,0,1,0,0,2,low
172.16.0.108,1,0,1,0,0,2,low
172.16.0.118,6,0,1,0,0,2,low
172.16.0.122,4,0,1,0,0,2,low
172.16.0.128,3,0,1,0,0,2,low
172.16.0.135,6,0,1,0,0,2,low
172.16.0.14,3,0,1,0,0,2,low
172.16.0.154,5,0,1,0,0,2,low
172.16.0.155,5,0,1,0,0,2,low
172.16.0.161,8,0,1,0,0,2,low
172.16.0.166,6,0,1,0,0,2,low
172.16.0.177,2,0,1,0,0,2,low
172.16.0.179,7,0,1,0,0,2,low
172.16.0.180,6,0,1,0,0,2,low
172.16.0.189,4,0,1,0,0,2,low
172.16.0.19,6,0,1,0,0,2,low
172.16.0.194,5,0,1,0,0,2,low
172.16.0.198,7,0,1,0,0,2,low
172.16.0.205,3,0,1,0,0,2,low
172.16.0.206,4,0,1,0,0,2,low
172.16.0.21,3,0,1,0,0,2,low
172.16.0.213,7,0,1,0,0,2,low
172.16.0.219,2,0,1,0,0,2,low
172.16.0.228,4,0,1,0,0,2,low
172.16.0.249,6,0,1,0,0,2,low
172.16.0.32,4,0,1,0,0,2,low
172.16.0.57,3,0,1,0,0,2,low
172.16.0.58,7,0,1,0,0,2,low
172.16.0.60,2,0,1,0,0,2,low
172.16.0.64,5,0,1,0,0,2,low
172.16.0.81,2,0,1,0,0,2,low
172.16.0.85,2,0,1,0,0,2,low
192.168.1.102,4,0,1,0,0,2,low
192.168.1.111,4,0,1,0,0,2,low
192.168.1.114,7,0,1,0,0,2,low
192.168.1.128,5,0,1,0,0,2,low
192.168.1.129,3,0,1,0,0,2,low
192.168.1.133,4,0,1,0,0,2,low
192.168.1.134,3,0,1,0,0,2,low
192.168.1.152,4,0,1,0,0,2,low
192.168.1.156,7,0,1,0,0,2,low
192.168.1.168,3,0,1,0,0,2,low
192.168.1.17,3,0,1,0,0,2,low
192.168.1.170,6,0,1,0,0,2,low
192.168.1.172,3,0,1,0,0,2,low
192.168.1.173,3,0,1,0,0,2,low
192.168.1.179,6,0,1,0,0,2,low
192.168.1.180,5,0,1,0,0,2,low
192.168.1.212,5,0,1,0,0,2,low
192.168.1.219,5,0,1,0,0,2,low
192.168.1.241,4,0,1,0,0,2,low
192.168.1.43,2,0,1,0,0,2,low
192.168.1.64,2,0,1,0,0,2,low
192.168.1.83,6,0,1,0,0,2,low
192.168.1.91,6,0,1,0,0,2,low
198.51.100.103,2,0,0,2,0,2,low
198.51.100.111,2,0,0,2,0,2,low
198.51.100.112,2,0,0,2,0,2,low
198.51.100.123,2,0,0,2,0,2,low
198.51.100.130,2,0,0,2,0,2,low
198.51.100.135,2,0,0,2,0,2,low
198.51.100.14,2,0,0,2,0,2,low
198.51.100.140,2,0,0,2,0,2,low
198.51.100.145,2,0,0,2,0,2,low
198.51.100.161,2,0,0,2,0,2,low
198.51.100.162,2,0,0,2,0,2,low
198.51.100.168,2,0,0,2,0,2,low
198.51.100.169,2,0,0,2,0,2,low
198.51.100.17,2,0,0,2,0,2,low
198.51.100.172,2,0,0,2,0,2,low
198.51.100.183,2,0,0,2,0,2,low
198.51.100.19,2,0,0,2,0,2,low
198.51.100.195,2,0,0,2,0,2,low
198.51.100.204,2,0,0,2,0,2,low
198.51.100.211,2,0,0,2,0,2,low
198.51.100.214,2,0,0,2,0,2,low
198.51.100.222,2,0,0,2,0,2,low
198.51.100.224,2,0,0,2,0,2,low
198.51.100.235,2,0,0,2,0,2,low
198.51.100.249,2,0,0,2,0,2,low
198.51.100.253,2,0,0,2,0,2,low
198.51.100.28,2,0,0,2,0,2,low
198.51.100.3,2,0,0,2,0,2,low
198.51.100.41,2,0,0,2,0,2,low
198.51.100.51,2,0,0,2,0,2,low
198.51.100.57,2,0,0,2,0,2,low
198.51.100.6,2,0,0,2,0,2,low
198.51.100.62,2,0,0,2,0,2,low
198.51.100.66,2,0,0,2,0,2,low
198.51.100.69,2,0,0,2,0,2,low
198.51.100.82,2,0,0,2,0,2,low
198.51.100.85,2,0,0,2,0,2,low
198.51.100.93,2,0,0,2,0,2,low
198.51.100.94,2,0,0,2,0,2,low
198.51.100.95,2,0,0,2,0,2,low
198.51.100.99,2,0,0,2,0,2,low
203.0.113.101,2,0,0,2,0,2,low
203.0.113.109,2,0,0,2,0,2,low
203.0.113.113,2,0,0,2,0,2,low
203.0.113.118,2,0,0,2,0,2,low
203.0.113.120,2,0,0,2,0,2,low
203.0.113.121,2,0,0,2,0,2,low
203.0.113.124,2,0,0,2,0,2,low
203.0.113.13,2,0,0,2,0,2,low
203.0.113.133,2,0,0,2,0,2,low
203.0.113.138,2,0,0,2,0,2,low
203.0.113.141,2,0,0,2,0,2,low
203.0.113.152,2,0,0,2,0,2,low
203.0.113.159,2,0,0,2,0,2,low
203.0.113.169,2,0,0,2,0,2,low
203.0.113.171,2,0,0,2,0,2,low
203.0.113.172,2,0,0,2,0,2,low
203.0.113.188,2,0,0,2,0,2,low
203.0.113.189,2,0,0,2,0,2,low
203.0.113.194,2,0,0,2,0,2,low
203.0.113.196,2,0,0,2,0,2,low
203.0.113.202,2,0,0,2,0,2,low
203.0.113.211,2,0,0,2,0,2,low
203.0.113.216,2,0,0,2,0,2,low
203.0.113.222,2,0,0,2,0,2,low
203.0.113.223,2,0,0,2,0,2,low
203.0.113.236,2,0,0,2,0,2,low
203.0.113.253,2,0,0,2,0,2,low
203.0.113.254,2,0,0,2,0,2,low
203.0.113.3,2,0,0,2,0,2,low
203.0.113.30,2,0,0,2,0,2,low
203.0.113.35,2,0,0,2,0,2,low
203.0.113.36,2,0,0,2,0,2,low
203.0.113.45,2,0,0,2,0,2,low
